2025-11-30T11:34:56.552Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/handMadeOasis
2025-11-30T11:34:56.552Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-11-30T11:36:48.671Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-11-30T11:36:48.671Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/handMadeOasis
2025-11-30T11:57:00.386Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-11-30T11:57:00.387Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/handMadeOasis
2025-11-30T21:11:49.634Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-11-30T21:11:49.634Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/handMadeOasis
2025-11-30T21:27:31.610Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-11-30T21:27:31.610Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/agent-at-home
2025-11-30T21:28:05.452Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-11-30T21:28:05.452Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/agent-at-home
2025-11-30T21:35:58.500Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-11-30T21:35:58.500Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/agent-at-home
2025-11-30T21:41:51.854Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-11-30T21:41:51.854Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/handMadeOasis
2025-11-30T22:26:32.249Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-11-30T22:26:32.249Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/handMadeOasis
2025-11-30T22:39:55.393Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-11-30T22:39:55.394Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/agent-at-home
