2025-12-11T07:12:09.595Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/dotfiles/arch-config/arch-dotfiles/opencode/.config/opencode
2025-12-11T07:12:09.594Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T07:22:39.186Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T07:22:39.187Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/personal-workspace/dotfiles/arch-config/arch-dotfiles/opencode/.config/opencode
2025-12-11T09:05:57.243Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T09:05:57.243Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-11T09:06:57.596Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T09:06:57.597Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-11T09:09:38.917Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T09:09:38.918Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-11T09:50:13.025Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T09:50:13.026Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-11T09:51:02.005Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T09:51:02.005Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-11T09:54:15.059Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T09:54:15.059Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-11T12:00:41.066Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T12:00:41.067Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-11T12:08:59.169Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T12:08:59.170Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-11T17:09:27.533Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T17:09:27.533Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-11T17:15:53.006Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T17:15:53.007Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-11T17:16:08.828Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T17:16:08.829Z DEBUG config: No project config found | searchedFrom=/home/ramtinj
2025-12-11T17:16:45.589Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T17:16:45.589Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-11T17:16:45.870Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T17:16:45.870Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-11T17:16:51.060Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T17:16:51.060Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-11T17:17:21.698Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T17:17:21.698Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-11T17:17:23.143Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T17:17:23.143Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-11T17:27:24.570Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T17:27:24.570Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
2025-12-11T18:46:15.831Z INFO  config: Loaded global config | path=/home/ramtinj/.config/opencode/dcp.jsonc
2025-12-11T18:46:15.831Z DEBUG config: No project config found | searchedFrom=/home/ramtinj/workspace/prefect-data-flows
